Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution,nFrames_oneplane,datapath,suite2ppath,h5path,sbxpath,behavpath,roiFile,tcFile
11,2,Behavior,cd037_011_002,cd037_11v2.txt,0,0,0,0,0,0,12128 12128,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
11,3,Behavior,cd037_011_003,cd037_11v3.txt,0,0,0,0,0,0,4078 4077,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
11,4,Baseline,cd037_011_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
12,1,Behavior,cd037_012_000,cd037_12v1.txt,0,0,0,0,0,0,13323 13322,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
12,2,Behavior,cd037_012_001,cd037_12v2.txt,0,0,0,0,0,0,12537 12537,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
12,3,Behavior,cd037_012_002,cd037_12v3.txt,0,0,0,0,0,0,6477 6476,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
12,4,Baseline,cd037_012_003,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
12,5,Baseline,cd037_012_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
13,1,Behavior,cd037_013_001,cd037_13v1.txt,0,0,0,0,0,0,13089 13088,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
13,2,Behavior,cd037_013_003,cd037_13v2.txt,0,0,0,0,0,0,12094 12093,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
13,3,Baseline,cd037_013_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
14,1,Behavior,cd037_014_001,cd037_14v1.txt,0,0,0,0,0,0,22236 22235,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
14,2,Behavior,cd037_014_003,cd037_14v2.txt,0,0,0,0,0,0,12404 12403,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
14,3,Behavior,cd037_014_004,cd037_14v3.txt,0,0,0,0,0,0,12946 12946,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
14,4,Baseline,cd037_014_005,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
15,1,None,cd037_015_000,,0,0,0,0,0,0,454 453,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
15,2,Behavior,cd037_015_001,cd037_15v1.txt,0,0,0,0,0,0,12252 12252,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
15,3,Behavior,cd037_015_003,cd037_15v2.txt,0,0,0,0,0,0,12032 12032,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
15,4,Behavior,cd037_015_005,cd037_15v3.txt,0,0,0,0,0,0,3367 3367,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
15,5,Baseline,cd037_015_006,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
16,1,Behavior,cd037_016_000,cd037_16v1.txt,0,0,0,0,0,0,13880 13880,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
16,2,Behavior,cd037_016_001,cd037_16v2.txt,0,0,0,0,0,0,13678 13678,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
16,3,Behavior,cd037_016_003,cd037_16v3.txt,0,0,0,0,0,0,13160 13159,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
16,4,Baseline,cd037_016_005,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
17,1,Baseline,cd037_017_000,,0,0,0,0,0,0,2280 2280,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
17,2,Tuning WhiteNoiseAftD1,cd037_017_002,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
17,3,Tuning PuretoneAftD1,cd037_017_003,,0,0,0,0,0,0,8500 8499,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
18,1,Baseline,cd037_018_000,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
18,2,Tuning PuretoneAftD7,cd037_018_001,,0,0,0,0,0,0,8500 8499,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
